[28-Apr-2012 11:48:16] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 11:48:48] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 11:49:28] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 11:49:32] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 11:50:12] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 11:50:35] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 11:52:03] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 11:56:34] PHP Notice:  Undefined variable: session in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 55
[28-Apr-2012 11:56:34] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 55
[28-Apr-2012 11:56:34] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php:55) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/functions.php on line 16
[28-Apr-2012 11:58:46] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 11:58:48] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 11:58:51] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 12:00:30] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 12:00:34] PHP Notice:  Undefined variable: found_user in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 13
[28-Apr-2012 12:00:34] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 13
[28-Apr-2012 12:00:34] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php:13) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/functions.php on line 16
[28-Apr-2012 12:01:32] PHP Notice:  Undefined variable: session in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 55
[28-Apr-2012 12:01:32] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 55
[28-Apr-2012 12:01:32] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php:55) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/functions.php on line 16
[28-Apr-2012 12:02:22] PHP Notice:  Undefined variable: session in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 55
[28-Apr-2012 12:02:22] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 55
[28-Apr-2012 12:02:22] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php:55) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/functions.php on line 16
[28-Apr-2012 12:02:44] PHP Notice:  Undefined variable: session in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 55
[28-Apr-2012 12:02:44] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 55
[28-Apr-2012 12:02:44] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php:55) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/functions.php on line 16
[28-Apr-2012 12:02:48] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 12:02:50] PHP Notice:  Undefined variable: session in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 55
[28-Apr-2012 12:02:50] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 55
[28-Apr-2012 12:02:50] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php:55) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/functions.php on line 16
[28-Apr-2012 12:04:04] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 12:04:13] PHP Notice:  Undefined variable: session in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 55
[28-Apr-2012 12:04:13] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 55
[28-Apr-2012 12:04:13] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php:55) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/functions.php on line 16
[28-Apr-2012 12:05:57] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 12:06:00] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 12:06:12] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 12:06:34] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 12:06:36] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 12:06:40] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 12:06:43] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 12:06:43] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 12:06:44] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 12:06:44] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 12:08:32] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[29-Apr-2012 05:39:38] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/user.php:127) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/functions.php on line 16
[29-Apr-2012 05:43:04] PHP Fatal error:  Call to protected method User::create() from context '' in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/test.php on line 19
[29-Apr-2012 05:44:09] PHP Fatal error:  Call to a member function delete() on a non-object in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/test.php on line 23
[29-Apr-2012 05:44:39] PHP Fatal error:  Call to a member function delete() on a non-object in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/test.php on line 23
[29-Apr-2012 07:27:17] PHP Fatal error:  Cannot redeclare class User in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/photograph.php on line 0
[29-Apr-2012 07:27:37] PHP Fatal error:  Call to undefined method User::create() in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database_object.php on line 107
[29-Apr-2012 07:47:25] PHP Notice:  Undefined variable: pair in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database_object.php on line 147
[29-Apr-2012 07:47:25] PHP Notice:  Undefined variable: pair in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database_object.php on line 147
[29-Apr-2012 07:47:25] PHP Notice:  Undefined variable: pair in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database_object.php on line 147
[29-Apr-2012 07:47:25] PHP Notice:  Undefined variable: pair in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database_object.php on line 147
[29-Apr-2012 07:47:25] PHP Notice:  Undefined variable: pair in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database_object.php on line 147
[29-Apr-2012 07:49:01] PHP Fatal error:  Call to undefined method stdClass::save() in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/test.php on line 27
[29-Apr-2012 07:51:42] PHP Fatal error:  Call to undefined method stdClass::save() in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/test.php on line 27
[29-Apr-2012 07:52:18] PHP Fatal error:  Call to undefined method stdClass::save() in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/test.php on line 27
[29-Apr-2012 07:53:35] PHP Fatal error:  Call to undefined method stdClass::save() in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/test.php on line 27
[29-Apr-2012 08:48:50] PHP Fatal error:  Access to undeclared static property: DatabaseObject::$table_name in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database_object.php on line 167
[29-Apr-2012 14:31:42] PHP Fatal error:  Call to undefined function isarray() in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/photograph.php on line 44
[29-Apr-2012 14:32:25] PHP Notice:  Undefined variable: files in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/photograph.php on line 53
[29-Apr-2012 14:32:25] PHP Notice:  Undefined index:  in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/photograph.php on line 53
[29-Apr-2012 15:14:27] PHP Notice:  Undefined variable: files in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/photograph.php on line 53
[29-Apr-2012 15:14:27] PHP Notice:  Undefined index:  in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/photograph.php on line 53
[29-Apr-2012 18:03:42] PHP Notice:  Undefined variable: database in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database_object.php on line 21
[29-Apr-2012 18:03:42] PHP Fatal error:  Call to a member function escape_value() on a non-object in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database_object.php on line 21
[29-Apr-2012 18:26:56] PHP Notice:  Undefined variable: photos in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 37
[29-Apr-2012 18:26:56] PHP Warning:  Invalid argument supplied for foreach() in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 37
[29-Apr-2012 21:57:16] PHP Warning:  require_once(/Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/comment.php) [<a href='function.require-once'>function.require-once</a>]: failed to open stream: No such file or directory in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/initialize.php on line 39
[29-Apr-2012 21:57:16] PHP Fatal error:  require_once() [<a href='function.require'>function.require</a>]: Failed opening required '/Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/comment.php' (include_path='.:/Applications/MAMP/bin/php/php5.3.6/lib/php') in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/initialize.php on line 39
[29-Apr-2012 22:00:05] PHP Notice:  Undefined variable: photo_id in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/photo.php on line 22
[29-Apr-2012 22:06:31] PHP Notice:  Undefined variable: H in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/comment.php on line 25
[29-Apr-2012 22:06:31] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/photo.php:3) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/functions.php on line 16
[29-Apr-2012 22:07:47] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/photo.php:3) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/functions.php on line 16
[29-Apr-2012 22:08:13] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/photo.php:3) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/functions.php on line 16
[30-Apr-2012 01:11:56] PHP Warning:  mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Can't connect to local MySQL server through socket '/Applications/MAMP/tmp/mysql/mysql.sock' (2) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database.php on line 29
[30-Apr-2012 21:45:02] PHP Fatal error:  Call to undefined method Pagination::current_page() in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 66
[30-Apr-2012 21:47:52] PHP Notice:  Undefined variable: pagnation in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 69
[30-Apr-2012 21:47:52] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 69
[30-Apr-2012 21:48:12] PHP Notice:  Undefined variable: pagintion in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 69
[30-Apr-2012 21:48:12] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 69
[06-May-2012 05:27:31] PHP Fatal error:  Call to undefined method MySQLDatabase::findAll() in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/blog_migration.php on line 5
[06-May-2012 05:38:47] PHP Notice:  Undefined index: topic_description in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/blog_migration.php on line 12
[06-May-2012 05:38:47] PHP Notice:  Undefined index: topic_description in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/blog_migration.php on line 12
[06-May-2012 05:38:47] PHP Notice:  Undefined index: topic_description in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/blog_migration.php on line 12
